Year,Region,Number_of_Banks,Number_of_Branches,New_Charters
1937,Maryland,181,76,
1938,Maryland,178,74,
1939,Maryland,174,78,
1940,Maryland,172,80,
1941,Maryland,172,79,
1942,Maryland,172,81,
1943,Maryland,172,83,
1944,Maryland,171,84,
1945,Maryland,167,89,
1946,Maryland,167,93,
1947,Maryland,164,100,
1948,Maryland,161,108,
1949,Maryland,162,114,
1950,Maryland,162,118,
1951,Maryland,158,133,
1952,Maryland,154,141,
1953,Maryland,153,145,
1954,Maryland,151,154,
1955,Maryland,151,166,
1956,Maryland,149,178,
1957,Maryland,147,190,
1958,Maryland,141,206,
1959,Maryland,139,221,
1960,Maryland,132,246,
1961,Maryland,131,261,
1962,Maryland,120,296,
1963,Maryland,117,332,
1964,Maryland,120,364,
1965,Maryland,121,388,
1966,Maryland,121,408,1
1967,Maryland,121,435,1
1968,Maryland,121,462,1
1969,Maryland,121,484,2
1970,Maryland,114,515,0
1971,Maryland,112,567,0
1972,Maryland,112,595,1
1973,Maryland,112,643,0
1974,Maryland,114,703,5
1975,Maryland,115,751,2
1976,Maryland,113,783,0
1977,Maryland,108,812,0
1978,Maryland,106,855,1
1979,Maryland,102,905,1
1980,Maryland,102,942,1
1981,Maryland,94,990,0
1982,Maryland,91,1036,1
1983,Maryland,89,1060,2
1984,Maryland,88,1116,2
1985,Maryland,90,1135,3
1986,Maryland,93,1189,4
1987,Maryland,95,1258,2
1988,Maryland,99,1259,4
1989,Maryland,106,1286,7
1990,Maryland,103,1295,3
1991,Maryland,102,1289,1
1992,Maryland,96,1287,0
1993,Maryland,94,1256,1
1994,Maryland,93,1278,0
1995,Maryland,91,1257,0
1996,Maryland,90,1268,1
1997,Maryland,83,1275,0
1998,Maryland,80,1299,1
1999,Maryland,77,1333,1
2000,Maryland,74,1318,2
2001,Maryland,74,1338,1
2002,Maryland,73,1331,0
2003,Maryland,70,1327,2
2004,Maryland,67,1345,3
2005,Maryland,65,1367,1
2006,Maryland,65,1419,1
2007,Maryland,55,1468,1
2008,Maryland,53,1480,1
2009,Maryland,50,1663,0
2010,Maryland,48,1615,0
2011,Maryland,49,1626,0
2012,Maryland,46,1597,0
2013,Maryland,45,1540,0
2014,Maryland,43,1515,0
2015,Maryland,39,1470,0
2016,Maryland,35,1444,0
2017,Maryland,35,1423,0
2018,Maryland,32,1385,0
2019,Maryland,28,1367,0
1934,Massachusetts,206,0,
1935,Massachusetts,200,110,
1936,Massachusetts,197,112,
1937,Massachusetts,194,114,
1938,Massachusetts,193,113,
1939,Massachusetts,192,116,
1940,Massachusetts,192,115,
1941,Massachusetts,190,118,
1942,Massachusetts,190,121,
1943,Massachusetts,189,123,
1944,Massachusetts,188,124,
1945,Massachusetts,183,137,
1946,Massachusetts,183,143,
1947,Massachusetts,179,151,
1948,Massachusetts,180,161,
1949,Massachusetts,175,168,
1950,Massachusetts,174,175,
1951,Massachusetts,173,188,
1952,Massachusetts,173,199,
1953,Massachusetts,173,212,
1954,Massachusetts,171,231,
1955,Massachusetts,170,260,
1956,Massachusetts,167,277,
1957,Massachusetts,166,295,
1958,Massachusetts,165,322,
1959,Massachusetts,163,353,
1960,Massachusetts,166,373,
1961,Massachusetts,163,409,
1962,Massachusetts,158,443,
1963,Massachusetts,157,476,
1964,Massachusetts,154,524,
1965,Massachusetts,156,565,
1966,Massachusetts,157,611,4
1967,Massachusetts,154,644,0
1968,Massachusetts,153,680,5
1969,Massachusetts,156,710,4
1970,Massachusetts,158,742,2
1971,Massachusetts,154,779,1
1972,Massachusetts,151,810,1
1973,Massachusetts,148,849,0
1974,Massachusetts,147,882,2
1975,Massachusetts,145,902,0
1976,Massachusetts,143,925,0
1977,Massachusetts,145,926,0
1978,Massachusetts,146,923,1
1979,Massachusetts,143,935,0
1980,Massachusetts,138,952,0
1981,Massachusetts,138,981,2
1982,Massachusetts,136,993,3
1983,Massachusetts,127,1003,1
1984,Massachusetts,125,959,1
1985,Massachusetts,116,988,3
1986,Massachusetts,108,1027,2
1987,Massachusetts,108,1037,10
1988,Massachusetts,103,1018,2
1989,Massachusetts,99,1006,1
1990,Massachusetts,85,987,0
1991,Massachusetts,73,862,0
1992,Massachusetts,61,737,0
1993,Massachusetts,61,697,1
1994,Massachusetts,53,714,0
1995,Massachusetts,51,789,0
1996,Massachusetts,50,709,1
1997,Massachusetts,46,888,1
1998,Massachusetts,44,883,1
1999,Massachusetts,45,997,0
2000,Massachusetts,43,818,0
2001,Massachusetts,43,844,1
2002,Massachusetts,39,937,1
2003,Massachusetts,37,964,0
2004,Massachusetts,36,1036,0
2005,Massachusetts,35,1073,0
2006,Massachusetts,36,1072,1
2007,Massachusetts,31,1087,0
2008,Massachusetts,28,1089,1
2009,Massachusetts,28,1073,1
2010,Massachusetts,26,1044,0
2011,Massachusetts,25,1053,0
2012,Massachusetts,24,1294,0
2013,Massachusetts,24,1265,0
2014,Massachusetts,23,1266,0
2015,Massachusetts,21,1311,0
2016,Massachusetts,20,1289,0
2017,Massachusetts,18,1276,0
2018,Massachusetts,16,1249,0
2019,Massachusetts,18,1294,1
1934,Michigan,428,0,
1935,Michigan,449,145,
1936,Michigan,443,151,
1937,Michigan,438,159,
1938,Michigan,433,156,
1939,Michigan,429,159,
1940,Michigan,421,158,
1941,Michigan,421,161,
1942,Michigan,418,164,
1943,Michigan,414,167,
1944,Michigan,411,171,
1945,Michigan,415,170,
1946,Michigan,417,187,
1947,Michigan,419,196,
1948,Michigan,418,205,
1949,Michigan,418,219,
1950,Michigan,414,233,
1951,Michigan,414,250,
1952,Michigan,412,278,
1953,Michigan,419,301,
1954,Michigan,419,337,
1955,Michigan,412,376,
1956,Michigan,401,416,
1957,Michigan,393,445,
1958,Michigan,391,492,
1959,Michigan,381,531,
1960,Michigan,378,576,
1961,Michigan,371,615,
1962,Michigan,369,669,
1963,Michigan,365,726,
1964,Michigan,359,803,
1965,Michigan,352,891,
1966,Michigan,345,986,1
1967,Michigan,339,1047,0
1968,Michigan,336,1099,0
1969,Michigan,330,1151,2
1970,Michigan,329,1201,4
1971,Michigan,329,1252,3
1972,Michigan,330,1328,2
1973,Michigan,338,1398,10
1974,Michigan,346,1478,11
1975,Michigan,350,1560,7
1976,Michigan,359,1631,9
1977,Michigan,361,1702,3
1978,Michigan,364,1791,5
1979,Michigan,371,1999,8
1980,Michigan,375,2157,6
1981,Michigan,375,2236,2
1982,Michigan,374,2137,4
1983,Michigan,371,2146,1
1984,Michigan,365,2103,1
1985,Michigan,361,2093,2
1986,Michigan,345,2081,0
1987,Michigan,312,2020,4
1988,Michigan,287,2042,1
1989,Michigan,268,2101,3
1990,Michigan,235,2174,2
1991,Michigan,230,2254,2
1992,Michigan,219,2269,0
1993,Michigan,208,2278,0
1994,Michigan,200,2279,2
1995,Michigan,180,2296,1
1996,Michigan,176,2304,5
1997,Michigan,163,2381,7
1998,Michigan,165,2343,6
1999,Michigan,172,2384,7
2000,Michigan,169,2413,5
2001,Michigan,162,2509,6
2002,Michigan,160,2616,2
2003,Michigan,158,2622,0
2004,Michigan,153,2661,2
2005,Michigan,156,2694,4
2006,Michigan,154,2760,2
2007,Michigan,148,2744,3
2008,Michigan,143,2709,0
2009,Michigan,131,2686,2
2010,Michigan,123,2666,0
2011,Michigan,120,2644,0
2012,Michigan,118,2621,0
2013,Michigan,113,2578,0
2014,Michigan,107,2564,0
2015,Michigan,99,2527,0
2016,Michigan,93,2447,0
2017,Michigan,89,2323,0
2018,Michigan,85,2265,0
2019,Michigan,83,2196,1
1934,Minnesota,651,0,
1935,Minnesota,649,6,
1936,Minnesota,648,6,
1937,Minnesota,649,6,
1938,Minnesota,651,6,
1939,Minnesota,647,6,
1940,Minnesota,644,6,
1941,Minnesota,643,6,
1942,Minnesota,639,6,
1943,Minnesota,637,6,
1944,Minnesota,644,6,
1945,Minnesota,647,6,
1946,Minnesota,646,6,
1947,Minnesota,651,6,
1948,Minnesota,657,6,
1949,Minnesota,660,6,
1950,Minnesota,661,6,
1951,Minnesota,663,6,
1952,Minnesota,664,6,
1953,Minnesota,665,6,
1954,Minnesota,667,6,
1955,Minnesota,669,6,
1956,Minnesota,672,6,
1957,Minnesota,673,6,
1958,Minnesota,676,6,
1959,Minnesota,677,6,
1960,Minnesota,679,6,
1961,Minnesota,680,6,
1962,Minnesota,686,6,
1963,Minnesota,699,8,
1964,Minnesota,714,9,
1965,Minnesota,717,10,
1966,Minnesota,719,9,2
1967,Minnesota,719,9,0
1968,Minnesota,720,10,1
1969,Minnesota,721,10,1
1970,Minnesota,726,11,6
1971,Minnesota,728,17,2
1972,Minnesota,734,20,6
1973,Minnesota,737,24,3
1974,Minnesota,742,32,5
1975,Minnesota,745,52,2
1976,Minnesota,750,57,5
1977,Minnesota,752,76,2
1978,Minnesota,758,176,6
1979,Minnesota,759,227,1
1980,Minnesota,760,273,2
1981,Minnesota,759,312,0
1982,Minnesota,759,315,5
1983,Minnesota,751,334,0
1984,Minnesota,738,348,2
1985,Minnesota,735,369,0
1986,Minnesota,733,391,0
1987,Minnesota,705,427,2
1988,Minnesota,653,469,0
1989,Minnesota,637,501,0
1990,Minnesota,626,593,4
1991,Minnesota,608,595,1
1992,Minnesota,593,627,1
1993,Minnesota,573,662,2
1994,Minnesota,563,687,2
1995,Minnesota,525,821,0
1996,Minnesota,519,829,7
1997,Minnesota,520,921,6
1998,Minnesota,514,968,5
1999,Minnesota,497,999,5
2000,Minnesota,491,1036,9
2001,Minnesota,481,1091,3
2002,Minnesota,465,1121,2
2003,Minnesota,464,1148,8
2004,Minnesota,457,1178,5
2005,Minnesota,444,1239,6
2006,Minnesota,426,1278,2
2007,Minnesota,420,1308,3
2008,Minnesota,408,1320,1
2009,Minnesota,391,1313,0
2010,Minnesota,381,1303,0
2011,Minnesota,367,1300,0
2012,Minnesota,360,1302,0
2013,Minnesota,345,1319,0
2014,Minnesota,323,1326,0
2015,Minnesota,312,1333,0
2016,Minnesota,298,1330,0
2017,Minnesota,292,1321,0
2018,Minnesota,279,1318,0
2019,Minnesota,268,1327,0
1934,Mississippi,203,0,
1935,Mississippi,199,40,
1936,Mississippi,197,42,
1937,Mississippi,196,44,
1938,Mississippi,194,43,
1939,Mississippi,194,42,
1940,Mississippi,196,43,
1941,Mississippi,201,44,
1942,Mississippi,197,47,
1943,Mississippi,196,50,
1944,Mississippi,197,55,
1945,Mississippi,197,51,
1946,Mississippi,198,52,
1947,Mississippi,202,55,
1948,Mississippi,201,58,
1949,Mississippi,198,64,
1950,Mississippi,197,68,
1951,Mississippi,198,71,
1952,Mississippi,199,73,
1953,Mississippi,197,78,
1954,Mississippi,194,86,
1955,Mississippi,194,98,
1956,Mississippi,193,103,
1957,Mississippi,192,116,
1958,Mississippi,191,124,
1959,Mississippi,191,132,
1960,Mississippi,191,136,
1961,Mississippi,191,149,
1962,Mississippi,190,162,
1963,Mississippi,192,177,
1964,Mississippi,194,191,
1965,Mississippi,196,221,
1966,Mississippi,190,259,2
1967,Mississippi,188,281,0
1968,Mississippi,185,296,1
1969,Mississippi,181,321,0
1970,Mississippi,182,348,1
1971,Mississippi,183,369,2
1972,Mississippi,181,406,3
1973,Mississippi,181,449,6
1974,Mississippi,181,503,8
1975,Mississippi,185,546,7
1976,Mississippi,183,577,1
1977,Mississippi,184,604,4
1978,Mississippi,184,635,1
1979,Mississippi,182,666,1
1980,Mississippi,177,697,0
1981,Mississippi,170,718,0
1982,Mississippi,167,731,1
1983,Mississippi,161,737,0
1984,Mississippi,153,753,0
1985,Mississippi,146,765,1
1986,Mississippi,141,757,0
1987,Mississippi,128,782,0
1988,Mississippi,125,807,0
1989,Mississippi,123,822,0
1990,Mississippi,123,825,0
1991,Mississippi,123,819,0
1992,Mississippi,121,822,0
1993,Mississippi,118,866,0
1994,Mississippi,111,885,0
1995,Mississippi,110,886,2
1996,Mississippi,111,911,2
1997,Mississippi,107,984,0
1998,Mississippi,96,986,3
1999,Mississippi,99,1010,5
2000,Mississippi,101,1004,5
2001,Mississippi,99,1006,0
2002,Mississippi,97,1002,1
2003,Mississippi,95,1011,0
2004,Mississippi,94,1038,0
2005,Mississippi,93,1054,0
2006,Mississippi,92,1095,1
2007,Mississippi,91,1092,0
2008,Mississippi,90,1109,1
2009,Mississippi,89,1108,0
2010,Mississippi,87,1116,0
2011,Mississippi,84,1129,0
2012,Mississippi,83,1122,0
2013,Mississippi,81,1113,0
2014,Mississippi,79,1103,0
2015,Mississippi,76,1107,0
2016,Mississippi,75,1098,0
2017,Mississippi,73,1093,0
2018,Mississippi,69,1103,0
2019,Mississippi,67,1099,0
1934,Missouri,639,0,
1935,Missouri,646,0,
1936,Missouri,624,0,
1937,Missouri,607,0,
1938,Missouri,595,0,
1939,Missouri,587,0,
1940,Missouri,581,0,
1941,Missouri,576,0,
1942,Missouri,569,0,
1943,Missouri,564,4,
1944,Missouri,563,5,
1945,Missouri,562,5,
1946,Missouri,565,0,
1947,Missouri,566,0,
1948,Missouri,570,0,
1949,Missouri,571,0,
1950,Missouri,576,1,
1951,Missouri,575,1,
1952,Missouri,576,1,
1953,Missouri,580,1,
1954,Missouri,581,1,
1955,Missouri,585,3,
1956,Missouri,588,4,
1957,Missouri,589,4,
1958,Missouri,595,4,
1959,Missouri,607,9,
1960,Missouri,610,25,
1961,Missouri,612,37,
1962,Missouri,614,44,
1963,Missouri,624,48,
1964,Missouri,632,56,
1965,Missouri,644,63,
1966,Missouri,652,71,6
1967,Missouri,656,78,4
1968,Missouri,659,85,2
1969,Missouri,661,85,2
1970,Missouri,664,93,4
1971,Missouri,666,100,2
1972,Missouri,671,132,4
1973,Missouri,681,203,10
1974,Missouri,694,261,14
1975,Missouri,700,320,7
1976,Missouri,706,339,6
1977,Missouri,712,372,5
1978,Missouri,714,399,2
1979,Missouri,721,415,7
1980,Missouri,725,438,5
1981,Missouri,728,465,5
1982,Missouri,732,493,7
1983,Missouri,733,531,10
1984,Missouri,713,593,7
1985,Missouri,673,655,6
1986,Missouri,610,740,4
1987,Missouri,596,771,7
1988,Missouri,577,812,8
1989,Missouri,551,847,3
1990,Missouri,544,927,3
1991,Missouri,532,942,0
1992,Missouri,510,999,0
1993,Missouri,490,1026,1
1994,Missouri,473,1087,0
1995,Missouri,459,1152,2
1996,Missouri,430,1231,5
1997,Missouri,404,1401,8
1998,Missouri,382,1502,3
1999,Missouri,365,1578,5
2000,Missouri,362,1630,4
2001,Missouri,351,1690,1
2002,Missouri,349,1683,3
2003,Missouri,345,1721,2
2004,Missouri,342,1779,3
2005,Missouri,342,1837,6
2006,Missouri,337,1911,5
2007,Missouri,331,1978,1
2008,Missouri,321,2012,2
2009,Missouri,317,2020,0
2010,Missouri,308,2026,1
2011,Missouri,303,2029,0
2012,Missouri,290,2028,0
2013,Missouri,283,2002,0
2014,Missouri,280,2009,0
2015,Missouri,279,2045,0
2016,Missouri,266,2032,0
2017,Missouri,260,2015,0
2018,Missouri,247,2024,0
2019,Missouri,239,2005,0
1934,Montana,118,0,
1935,Montana,119,0,
1936,Montana,119,0,
1937,Montana,115,0,
1938,Montana,114,0,
1939,Montana,111,0,
1940,Montana,111,0,
1941,Montana,112,0,
1942,Montana,110,0,
1943,Montana,110,0,
1944,Montana,111,0,
1945,Montana,111,0,
1946,Montana,110,0,
1947,Montana,112,0,
1948,Montana,112,0,
1949,Montana,111,0,
1950,Montana,110,0,
1951,Montana,110,0,
1952,Montana,109,0,
1953,Montana,109,0,
1954,Montana,110,0,
1955,Montana,113,0,
1956,Montana,113,0,
1957,Montana,114,1,
1958,Montana,114,1,
1959,Montana,115,1,
1960,Montana,119,1,
1961,Montana,122,1,
1962,Montana,122,3,
1963,Montana,124,3,
1964,Montana,128,3,
1965,Montana,129,3,
1966,Montana,131,3,2
1967,Montana,132,5,2
1968,Montana,134,5,2
1969,Montana,135,5,1
1970,Montana,139,5,2
1971,Montana,143,10,4
1972,Montana,146,12,3
1973,Montana,149,12,3
1974,Montana,152,14,3
1975,Montana,154,16,2
1976,Montana,155,18,1
1977,Montana,157,21,2
1978,Montana,160,23,3
1979,Montana,162,28,2
1980,Montana,163,36,1
1981,Montana,164,46,1
1982,Montana,166,26,2
1983,Montana,166,26,1
1984,Montana,167,29,1
1985,Montana,169,29,2
1986,Montana,169,29,0
1987,Montana,169,30,2
1988,Montana,169,30,0
1989,Montana,167,31,0
1990,Montana,156,45,1
1991,Montana,145,56,1
1992,Montana,120,78,1
1993,Montana,117,83,0
1994,Montana,112,88,0
1995,Montana,104,108,4
1996,Montana,100,121,2
1997,Montana,96,146,1
1998,Montana,89,193,0
1999,Montana,85,215,0
2000,Montana,84,231,0
2001,Montana,82,264,0
2002,Montana,80,271,1
2003,Montana,77,279,1
2004,Montana,77,283,0
2005,Montana,78,296,2
2006,Montana,80,297,2
2007,Montana,76,302,2
2008,Montana,74,314,0
2009,Montana,71,317,0
2010,Montana,70,317,0
2011,Montana,70,317,0
2012,Montana,62,318,0
2013,Montana,61,322,0
2014,Montana,59,331,0
2015,Montana,54,332,0
2016,Montana,50,332,0
2017,Montana,48,331,0
2018,Montana,46,328,0
2019,Montana,42,336,0
1934,Nebraska,379,0,
1935,Nebraska,376,2,
1936,Nebraska,376,3,
1937,Nebraska,373,2,
1938,Nebraska,370,2,
1939,Nebraska,364,2,
1940,Nebraska,360,2,
1941,Nebraska,361,2,
1942,Nebraska,357,2,
1943,Nebraska,350,3,
1944,Nebraska,354,5,
1945,Nebraska,356,2,
1946,Nebraska,356,2,
1947,Nebraska,360,2,
1948,Nebraska,361,2,
1949,Nebraska,361,2,
1950,Nebraska,367,2,
1951,Nebraska,367,2,
1952,Nebraska,369,2,
1953,Nebraska,373,2,
1954,Nebraska,375,1,
1955,Nebraska,379,1,
1956,Nebraska,382,2,
1957,Nebraska,382,2,
1958,Nebraska,384,2,
1959,Nebraska,388,3,
1960,Nebraska,392,12,
1961,Nebraska,394,17,
1962,Nebraska,396,19,
1963,Nebraska,418,26,
1964,Nebraska,427,27,
1965,Nebraska,430,28,
1966,Nebraska,433,29,2
1967,Nebraska,433,33,1
1968,Nebraska,435,37,1
1969,Nebraska,437,39,0
1970,Nebraska,437,42,1
1971,Nebraska,438,45,2
1972,Nebraska,440,48,2
1973,Nebraska,444,56,4
1974,Nebraska,448,83,5
1975,Nebraska,448,96,0
1976,Nebraska,450,98,2
1977,Nebraska,451,177,1
1978,Nebraska,452,199,1
1979,Nebraska,454,236,2
1980,Nebraska,457,283,3
1981,Nebraska,457,320,0
1982,Nebraska,461,130,4
1983,Nebraska,474,145,1
1984,Nebraska,473,171,3
1985,Nebraska,453,192,3
1986,Nebraska,437,202,1
1987,Nebraska,428,210,0
1988,Nebraska,412,225,1
1989,Nebraska,392,252,1
1990,Nebraska,392,286,3
1991,Nebraska,389,293,2
1992,Nebraska,374,315,0
1993,Nebraska,361,346,2
1994,Nebraska,352,362,2
1995,Nebraska,336,422,1
1996,Nebraska,329,460,2
1997,Nebraska,326,471,2
1998,Nebraska,315,490,2
1999,Nebraska,301,525,1
2000,Nebraska,276,548,1
2001,Nebraska,275,560,3
2002,Nebraska,268,584,2
2003,Nebraska,259,615,0
2004,Nebraska,252,633,0
2005,Nebraska,248,709,1
2006,Nebraska,244,730,1
2007,Nebraska,237,747,1
2008,Nebraska,231,763,0
2009,Nebraska,225,770,0
2010,Nebraska,214,834,0
2011,Nebraska,207,841,0
2012,Nebraska,204,846,0
2013,Nebraska,200,850,0
2014,Nebraska,193,860,0
2015,Nebraska,181,860,0
2016,Nebraska,175,868,0
2017,Nebraska,169,880,0
2018,Nebraska,164,879,0
2019,Nebraska,160,899,0
1934,Nevada,9,0,
1935,Nevada,9,7,
1936,Nevada,8,8,
1937,Nevada,8,11,
1938,Nevada,9,11,
1939,Nevada,11,11,
1940,Nevada,11,11,
1941,Nevada,11,11,
1942,Nevada,11,11,
1943,Nevada,10,15,
1944,Nevada,9,17,
1945,Nevada,8,17,
1946,Nevada,8,18,
1947,Nevada,8,18,
1948,Nevada,8,18,
1949,Nevada,8,19,
1950,Nevada,8,19,
1951,Nevada,8,21,
1952,Nevada,8,22,
1953,Nevada,8,22,
1954,Nevada,8,24,
1955,Nevada,6,29,
1956,Nevada,6,29,
1957,Nevada,6,32,
1958,Nevada,6,33,
1959,Nevada,7,36,
1960,Nevada,7,37,
1961,Nevada,7,41,
1962,Nevada,7,45,
1963,Nevada,7,52,
1964,Nevada,8,58,
1965,Nevada,9,63,
1966,Nevada,9,70,0
1967,Nevada,9,75,0
1968,Nevada,9,78,0
1969,Nevada,8,81,0
1970,Nevada,8,86,0
1971,Nevada,8,89,0
1972,Nevada,8,93,0
1973,Nevada,8,96,0
1974,Nevada,8,105,0
1975,Nevada,8,111,0
1976,Nevada,8,113,0
1977,Nevada,8,119,0
1978,Nevada,9,130,1
1979,Nevada,9,135,1
1980,Nevada,9,143,0
1981,Nevada,12,156,3
1982,Nevada,13,163,1
1983,Nevada,14,174,2
1984,Nevada,16,200,1
1985,Nevada,17,199,1
1986,Nevada,18,196,0
1987,Nevada,17,195,1
1988,Nevada,17,196,0
1989,Nevada,17,205,0
1990,Nevada,19,226,2
1991,Nevada,19,236,0
1992,Nevada,18,234,0
1993,Nevada,21,243,3
1994,Nevada,22,248,2
1995,Nevada,25,256,3
1996,Nevada,26,274,3
1997,Nevada,25,364,2
1998,Nevada,27,390,3
1999,Nevada,27,371,3
2000,Nevada,32,366,5
2001,Nevada,34,361,2
2002,Nevada,34,367,2
2003,Nevada,35,378,1
2004,Nevada,36,396,2
2005,Nevada,37,420,2
2006,Nevada,35,470,2
2007,Nevada,39,512,8
2008,Nevada,37,544,2
2009,Nevada,34,532,0
2010,Nevada,26,511,0
2011,Nevada,23,509,0
2012,Nevada,21,505,0
2013,Nevada,17,501,0
2014,Nevada,16,486,0
2015,Nevada,15,478,0
2016,Nevada,15,477,0
2017,Nevada,15,472,0
2018,Nevada,15,468,0
2019,Nevada,15,461,1
1934,New Hampshire,57,0,
1935,New Hampshire,56,1,
1936,New Hampshire,56,1,
1937,New Hampshire,56,1,
1938,New Hampshire,56,1,
1939,New Hampshire,56,1,
1940,New Hampshire,56,1,
1941,New Hampshire,56,1,
1942,New Hampshire,56,1,
1943,New Hampshire,57,1,
1944,New Hampshire,57,1,
1945,New Hampshire,57,2,
1946,New Hampshire,56,1,
1947,New Hampshire,57,1,
1948,New Hampshire,57,1,
1949,New Hampshire,57,1,
1950,New Hampshire,58,1,
1951,New Hampshire,58,1,
1952,New Hampshire,58,1,
1953,New Hampshire,62,2,
1954,New Hampshire,63,2,
1955,New Hampshire,63,2,
1956,New Hampshire,62,2,
1957,New Hampshire,63,3,
1958,New Hampshire,66,3,
1959,New Hampshire,71,3,
1960,New Hampshire,70,4,
1961,New Hampshire,71,3,
1962,New Hampshire,71,3,
1963,New Hampshire,73,4,
1964,New Hampshire,70,20,
1965,New Hampshire,71,27,
1966,New Hampshire,72,33,1
1967,New Hampshire,73,37,1
1968,New Hampshire,74,41,2
1969,New Hampshire,73,52,3
1970,New Hampshire,72,63,0
1971,New Hampshire,72,69,0
1972,New Hampshire,76,79,4
1973,New Hampshire,80,90,4
1974,New Hampshire,80,99,1
1975,New Hampshire,77,112,1
1976,New Hampshire,77,119,0
1977,New Hampshire,78,126,1
1978,New Hampshire,78,135,2
1979,New Hampshire,78,148,1
1980,New Hampshire,75,160,0
1981,New Hampshire,71,175,0
1982,New Hampshire,71,184,2
1983,New Hampshire,65,190,1
1984,New Hampshire,62,204,0
1985,New Hampshire,61,215,2
1986,New Hampshire,60,216,2
1987,New Hampshire,56,222,1
1988,New Hampshire,52,209,0
1989,New Hampshire,48,212,2
1990,New Hampshire,45,204,2
1991,New Hampshire,32,155,1
1992,New Hampshire,28,138,0
1993,New Hampshire,26,131,0
1994,New Hampshire,24,120,0
1995,New Hampshire,23,164,0
1996,New Hampshire,20,164,1
1997,New Hampshire,21,195,2
1998,New Hampshire,19,229,0
1999,New Hampshire,19,226,1
2000,New Hampshire,16,218,0
2001,New Hampshire,15,213,0
2002,New Hampshire,14,216,0
2003,New Hampshire,13,219,0
2004,New Hampshire,12,213,0
2005,New Hampshire,9,209,0
2006,New Hampshire,9,211,1
2007,New Hampshire,8,293,1
2008,New Hampshire,8,252,2
2009,New Hampshire,8,253,0
2010,New Hampshire,8,256,0
2011,New Hampshire,7,256,0
2012,New Hampshire,5,271,0
2013,New Hampshire,5,266,0
2014,New Hampshire,4,255,0
2015,New Hampshire,5,279,1
2016,New Hampshire,5,275,0
2017,New Hampshire,5,286,0
2018,New Hampshire,4,271,0
2019,New Hampshire,4,266,1
1934,New Jersey,391,0,
1935,New Jersey,389,114,
1936,New Jersey,385,119,
1937,New Jersey,376,120,
1938,New Jersey,373,119,
1939,New Jersey,356,115,
1940,New Jersey,352,118,
1941,New Jersey,349,120,
1942,New Jersey,347,122,
1943,New Jersey,347,125,
1944,New Jersey,345,129,
1945,New Jersey,343,132,
1946,New Jersey,341,134,
1947,New Jersey,339,137,
1948,New Jersey,333,141,
1949,New Jersey,328,151,
1950,New Jersey,320,165,
1951,New Jersey,314,176,
1952,New Jersey,308,189,
1953,New Jersey,307,207,
1954,New Jersey,304,231,
1955,New Jersey,294,261,
1956,New Jersey,273,308,
1957,New Jersey,268,334,
1958,New Jersey,259,367,
1959,New Jersey,255,398,
1960,New Jersey,250,436,
1961,New Jersey,244,471,
1962,New Jersey,239,517,
1963,New Jersey,232,572,
1964,New Jersey,233,627,
1965,New Jersey,230,673,
1966,New Jersey,229,712,3
1967,New Jersey,225,757,4
1968,New Jersey,226,797,4
1969,New Jersey,226,891,12
1970,New Jersey,215,1012,10
1971,New Jersey,209,1097,6
1972,New Jersey,210,1173,12
1973,New Jersey,221,1250,17
1974,New Jersey,218,1336,11
1975,New Jersey,209,1417,3
1976,New Jersey,195,1462,2
1977,New Jersey,188,1498,3
1978,New Jersey,184,1535,0
1979,New Jersey,176,1554,1
1980,New Jersey,169,1588,0
1981,New Jersey,161,1652,1
1982,New Jersey,148,1648,1
1983,New Jersey,136,1677,0
1984,New Jersey,125,1729,2
1985,New Jersey,126,1781,4
1986,New Jersey,124,1819,3
1987,New Jersey,125,1866,6
1988,New Jersey,129,1909,13
1989,New Jersey,126,1955,4
1990,New Jersey,131,1998,10
1991,New Jersey,117,2043,2
1992,New Jersey,106,2062,0
1993,New Jersey,100,2049,1
1994,New Jersey,90,2094,0
1995,New Jersey,83,2076,1
1996,New Jersey,66,2023,0
1997,New Jersey,71,2054,6
1998,New Jersey,72,2092,5
1999,New Jersey,75,2180,10
2000,New Jersey,81,2189,8
2001,New Jersey,80,2134,2
2002,New Jersey,82,2191,3
2003,New Jersey,79,2220,1
2004,New Jersey,75,2258,1
2005,New Jersey,72,2303,4
2006,New Jersey,69,2356,4
2007,New Jersey,69,2395,7
2008,New Jersey,68,2437,5
2009,New Jersey,66,2405,0
2010,New Jersey,62,2353,0
2011,New Jersey,58,2338,0
2012,New Jersey,58,2465,0
2013,New Jersey,55,2401,0
2014,New Jersey,52,2369,0
2015,New Jersey,51,2379,0
2016,New Jersey,46,2309,0
2017,New Jersey,45,2257,0
2018,New Jersey,40,2216,0
2019,New Jersey,34,2311,0
1934,New Mexico,41,0,
1935,New Mexico,40,5,
1936,New Mexico,40,5,
1937,New Mexico,40,6,
1938,New Mexico,40,6,
1939,New Mexico,40,6,
1940,New Mexico,40,7,
1941,New Mexico,41,7,
1942,New Mexico,41,6,
1943,New Mexico,41,6,
1944,New Mexico,41,8,
1945,New Mexico,41,7,
1946,New Mexico,44,6,
1947,New Mexico,47,8,
1948,New Mexico,49,11,
1949,New Mexico,51,12,
1950,New Mexico,51,15,
1951,New Mexico,51,23,
1952,New Mexico,51,23,
1953,New Mexico,51,25,
